,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
8001,PureSense,operating,USA,CA,5085.0,1770.0,1770.0,0.0,0.0,2260.0,1,0,0,0,0,1,17.16969697,355000.0,0.0,3195000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8003,Purfresh,operating,USA,CA,7277.0,3403.0,3403.0,0.0,0.0,0.0,1,0,0,0,0,1,14.84848485,6572000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,Purple Communications,operating,USA,CA,8007.0,5842.0,0.0,0.0,0.0,5842.0,1,0,0,0,0,1,13.96969697,0.0,0.0,2950000.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8008,Pyron Solar,operating,USA,CA,4355.0,1713.0,1713.0,0.0,0.0,0.0,1,0,0,0,0,1,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8010,Q Care International,operating,USA,GA,7642.0,6988.0,0.0,0.0,0.0,6226.0,0,0,0,0,0,1,14.39393939,0.0,0.0,1830000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8014,Q Interactive,acquired,USA,FL,7642.0,3896.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,14.39393939,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8016,Q1 Labs,acquired,USA,MA,5450.0,1050.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,16.88888889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8017,Q1Media,operating,USA,TX,4291.0,3679.0,0.0,0.0,0.0,0.0,0,0,0,1,0,3,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8018,Q2ebanking,ipo,USA,TX,4355.0,3367.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,18.08080808,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8019,QC Corp,acquired,USA,MD,16408.0,15837.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3.0909090910000003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8020,Qcept Technologies,operating,USA,GA,5085.0,2253.0,0.0,0.0,0.0,3024.0,0,0,0,0,0,1,17.16969697,0.0,0.0,7384000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8021,QD Vision,operating,USA,MA,4142.0,365.0,365.0,0.0,0.0,1999.0,0,0,1,0,0,8,18.08080808,4500000.0,0.0,2250000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8022,QE Ventures,operating,USA,NY,5816.0,4581.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,16.39393939,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
